,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
GPRZU42,-0.69,0.246,0.897,0.754,0.981,0.246,0.6090648928966209,0.897,0.047207556955907906,-2.3,0.0107,0.916,0.989,0.993,0.0107,1.9706162223147903,0.916,0.0381045263321496,0.95,0.83,0.998,0.17,0.953,0.17,0.769551078621726,0.953,0.02090709936167361
DILX32,-0.18,0.429,0.952,0.571,0.981,0.429,0.36754270781527576,0.952,0.021363051615525673,-2.29,0.0111,0.916,0.989,0.993,0.0111,1.9546770212133426,0.916,0.0381045263321496,-0.06,0.477,0.962,0.523,0.984,0.477,0.3214816209598861,0.962,0.016824927962187056
NRS5,1.99,0.976,0.999,0.0236,0.679,0.0236,1.6270879970298935,0.679,0.1681302257194983,-2.28,0.0113,0.916,0.989,0.993,0.0113,1.9469215565165803,0.916,0.0381045263321496,-0.39,0.35,0.945,0.65,0.984,0.35,0.4559319556497244,0.945,0.024568191490737076
JNXL753,-0.08,0.467,0.966,0.533,0.981,0.467,0.33068311943388784,0.966,0.015022873584506671,-2.28,0.0114,0.916,0.989,0.993,0.0114,1.9430951486635273,0.916,0.0381045263321496,-0.63,0.263,0.925,0.737,0.984,0.263,0.5800442515102421,0.925,0.03385826726096737
HIHCT75,-1.7,0.0448,0.897,0.955,0.985,0.0448,1.348721986001856,0.897,0.047207556955907906,-2.26,0.012,0.916,0.988,0.993,0.012,1.9208187539523751,0.916,0.0381045263321496,-0.27,0.393,0.952,0.607,0.984,0.393,0.4056074496245733,0.952,0.021363051615525673
PLMX321,-1.24,0.108,0.897,0.892,0.981,0.108,0.9665762445130504,0.897,0.047207556955907906,-2.21,0.0135,0.916,0.986,0.993,0.0135,1.869666231504994,0.916,0.0381045263321496,0.76,0.777,0.998,0.223,0.979,0.223,0.6516951369518393,0.979,0.009217308196862183
UJAN831,0.62,0.732,0.988,0.268,0.981,0.268,0.5718652059712112,0.981,0.008330992620051497,-2.21,0.0136,0.916,0.986,0.993,0.0136,1.8664610916297826,0.916,0.0381045263321496,-1.35,0.0886,0.925,0.911,0.985,0.0886,1.0525662781129492,0.925,0.03385826726096737
PAU973,0.4,0.654,0.988,0.346,0.981,0.346,0.46092390120722343,0.981,0.008330992620051497,-2.19,0.0143,0.916,0.986,0.993,0.0143,1.8446639625349381,0.916,0.0381045263321496,1.0,0.842,0.998,0.158,0.953,0.158,0.8013429130455774,0.953,0.02090709936167361
CSQRI314,0.39,0.652,0.988,0.348,0.981,0.348,0.4584207560534191,0.981,0.008330992620051497,-2.16,0.0155,0.916,0.984,0.992,0.0155,1.8096683018297086,0.916,0.0381045263321496,0.14,0.554,0.97,0.446,0.984,0.446,0.35066514128785814,0.97,0.01322826573375516
EUJA31,0.79,0.785,0.993,0.215,0.981,0.215,0.6675615400843947,0.981,0.008330992620051497,-2.14,0.0162,0.916,0.984,0.992,0.0162,1.790484985457369,0.916,0.0381045263321496,-0.56,0.289,0.925,0.711,0.984,0.289,0.5391021572434522,0.925,0.03385826726096737
ONJ5,0.99,0.839,0.999,0.161,0.96,0.161,0.7931741239681502,0.96,0.017728766960431602,-2.13,0.0167,0.916,0.983,0.992,0.0167,1.7772835288524167,0.916,0.0381045263321496,-1.28,0.101,0.925,0.899,0.984,0.101,0.9956786262173574,0.925,0.03385826726096737
ETY58,0.04,0.516,0.97,0.484,0.981,0.484,0.31515463835558755,0.97,0.01322826573375516,-2.12,0.0169,0.916,0.983,0.992,0.0169,1.7721132953863266,0.916,0.0381045263321496,-0.27,0.393,0.952,0.607,0.984,0.393,0.4056074496245733,0.952,0.021363051615525673
UYVU570,1.32,0.907,0.999,0.0929,0.915,0.0929,1.0319842860063582,0.915,0.038578905933551705,-2.11,0.0172,0.916,0.983,0.992,0.0172,1.764471553092451,0.916,0.0381045263321496,-1.96,0.0251,0.925,0.975,0.989,0.0251,1.6003262785189618,0.925,0.03385826726096737
ZTVXZ0,0.84,0.8,0.997,0.2,0.981,0.2,0.6989700043360187,0.981,0.008330992620051497,-2.11,0.0176,0.916,0.982,0.992,0.0176,1.75448733218585,0.916,0.0381045263321496,-0.07,0.472,0.962,0.528,0.984,0.472,0.32605800136591223,0.962,0.016824927962187056
QQY673,-1.41,0.0795,0.897,0.921,0.981,0.0795,1.0996328713435297,0.897,0.047207556955907906,-2.09,0.0181,0.916,0.982,0.992,0.0181,1.7423214251308154,0.916,0.0381045263321496,-0.36,0.358,0.945,0.642,0.984,0.358,0.44611697335612566,0.945,0.024568191490737076
IEWO670,0.85,0.802,0.997,0.198,0.981,0.198,0.7033348097384688,0.981,0.008330992620051497,-2.09,0.0184,0.916,0.982,0.992,0.0184,1.7351821769904636,0.916,0.0381045263321496,0.84,0.798,0.998,0.202,0.973,0.202,0.6946486305533762,0.973,0.0118871597316481
EYRXA93,-0.54,0.294,0.898,0.706,0.981,0.294,0.5316526695878427,0.898,0.04672366333269562,-2.07,0.0193,0.916,0.981,0.992,0.0193,1.7144426909922261,0.916,0.0381045263321496,0.78,0.782,0.998,0.218,0.979,0.218,0.6615435063953952,0.979,0.009217308196862183
SAHOX839,-0.79,0.216,0.897,0.784,0.981,0.216,0.6655462488490691,0.897,0.047207556955907906,-2.04,0.0206,0.916,0.979,0.992,0.0206,1.6861327796308465,0.916,0.0381045263321496,-0.08,0.466,0.962,0.534,0.984,0.466,0.3316140833099998,0.962,0.016824927962187056
OZGPL1,0.27,0.607,0.987,0.393,0.981,0.393,0.4056074496245733,0.981,0.008330992620051497,-2.01,0.022,0.916,0.978,0.991,0.022,1.6575773191777938,0.916,0.0381045263321496,-0.19,0.426,0.958,0.574,0.984,0.426,0.37059040089728107,0.958,0.018634490921455603
MAYX6,0.41,0.661,0.988,0.339,0.981,0.339,0.4698003017969178,0.981,0.008330992620051497,-2.01,0.0223,0.916,0.978,0.991,0.0223,1.6516951369518393,0.916,0.0381045263321496,-0.66,0.255,0.925,0.745,0.984,0.255,0.5934598195660448,0.925,0.03385826726096737
OJK715,0.03,0.511,0.97,0.489,0.981,0.489,0.3106911408763798,0.97,0.01322826573375516,-2.01,0.0223,0.916,0.978,0.991,0.0223,1.6516951369518393,0.916,0.0381045263321496,-0.82,0.207,0.925,0.793,0.984,0.207,0.6840296545430823,0.925,0.03385826726096737
ZTGA726,-0.55,0.29,0.898,0.71,0.981,0.29,0.5376020021010439,0.898,0.04672366333269562,-2.0,0.0226,0.916,0.977,0.991,0.0226,1.645891560852599,0.916,0.0381045263321496,0.16,0.563,0.972,0.437,0.984,0.437,0.3595185630295782,0.972,0.012333735073725434
PNGXA58,0.98,0.836,0.999,0.164,0.96,0.164,0.7851561519523022,0.96,0.017728766960431602,-2.0,0.0226,0.916,0.977,0.991,0.0226,1.645891560852599,0.916,0.0381045263321496,-2.22,0.0131,0.925,0.987,0.996,0.0131,1.8827287043442358,0.925,0.03385826726096737
VHV23,-0.2,0.422,0.952,0.578,0.981,0.422,0.37468754903832613,0.952,0.021363051615525673,-1.99,0.0233,0.916,0.977,0.991,0.0233,1.632644078973981,0.916,0.0381045263321496,-0.87,0.193,0.925,0.807,0.984,0.193,0.7144426909922262,0.925,0.03385826726096737
LMO87,0.72,0.763,0.992,0.237,0.981,0.237,0.6252516539898961,0.981,0.008330992620051497,-1.99,0.0233,0.916,0.977,0.991,0.0233,1.632644078973981,0.916,0.0381045263321496,-0.15,0.44,0.959,0.56,0.984,0.44,0.3565473235138126,0.959,0.018181392829336417
JFGY658,-1.2,0.115,0.897,0.885,0.981,0.115,0.9393021596463883,0.897,0.047207556955907906,-1.98,0.0241,0.916,0.976,0.991,0.0241,1.6179829574251317,0.916,0.0381045263321496,-0.25,0.401,0.952,0.599,0.984,0.401,0.39685562737981767,0.952,0.021363051615525673
VXO59,0.08,0.531,0.971,0.469,0.981,0.469,0.32882715728491674,0.971,0.012780770091995148,-1.95,0.0256,0.916,0.974,0.991,0.0256,1.5917600346881504,0.916,0.0381045263321496,-0.38,0.351,0.945,0.649,0.984,0.351,0.4546928835341759,0.945,0.024568191490737076
FUX92,0.54,0.704,0.988,0.296,0.981,0.296,0.5287082889410615,0.981,0.008330992620051497,-1.94,0.0259,0.916,0.974,0.991,0.0259,1.586700235918748,0.916,0.0381045263321496,-0.65,0.259,0.925,0.741,0.984,0.259,0.5867002359187482,0.925,0.03385826726096737
UIJQC3,-0.41,0.342,0.911,0.658,0.981,0.342,0.46597389394386496,0.911,0.040481623027001735,-1.93,0.0265,0.916,0.973,0.991,0.0265,1.576754126063192,0.916,0.0381045263321496,-0.77,0.22,0.925,0.78,0.984,0.22,0.6575773191777937,0.925,0.03385826726096737
CAJ3,1.19,0.883,0.999,0.117,0.915,0.117,0.9318141382538383,0.915,0.038578905933551705,-1.93,0.0265,0.916,0.973,0.991,0.0265,1.576754126063192,0.916,0.0381045263321496,0.12,0.548,0.97,0.452,0.984,0.452,0.3448615651886179,0.97,0.01322826573375516
APY1,0.26,0.604,0.987,0.396,0.981,0.396,0.40230481407448765,0.981,0.008330992620051497,-1.93,0.0268,0.916,0.973,0.991,0.0268,1.5718652059712113,0.916,0.0381045263321496,0.74,0.77,0.998,0.23,0.979,0.23,0.638272163982407,0.979,0.009217308196862183
ORXGO7,0.91,0.818,0.999,0.182,0.981,0.182,0.7399286120149252,0.981,0.008330992620051497,-1.92,0.0272,0.916,0.973,0.991,0.0272,1.5654310959658013,0.916,0.0381045263321496,0.05,0.519,0.97,0.481,0.984,0.481,0.31785492362616824,0.97,0.01322826573375516
DILX93,0.52,0.697,0.988,0.303,0.981,0.303,0.518557371497695,0.981,0.008330992620051497,-1.92,0.0272,0.916,0.973,0.991,0.0272,1.5654310959658013,0.916,0.0381045263321496,-0.52,0.302,0.93,0.698,0.984,0.302,0.5199930570428494,0.93,0.03151705144606486
PRNSI789,-1.7,0.0446,0.897,0.955,0.985,0.0446,1.350665141287858,0.897,0.047207556955907906,-1.91,0.0279,0.916,0.972,0.991,0.0279,1.5543957967264024,0.916,0.0381045263321496,0.88,0.81,0.998,0.19,0.953,0.19,0.721246399047171,0.953,0.02090709936167361
BWFI71,1.83,0.966,0.999,0.0339,0.815,0.0339,1.469800301796918,0.815,0.08884239126002341,-1.9,0.0284,0.916,0.972,0.991,0.0284,1.5466816599529623,0.916,0.0381045263321496,0.04,0.517,0.97,0.483,0.984,0.483,0.31605286924848786,0.97,0.01322826573375516
EQXU90,0.29,0.615,0.987,0.385,0.981,0.385,0.4145392704914993,0.981,0.008330992620051497,-1.88,0.0298,0.916,0.97,0.991,0.0298,1.5257837359237447,0.916,0.0381045263321496,1.2,0.885,1.0,0.115,0.937,0.115,0.9393021596463883,0.937,0.02826040911222171
KPO021,-0.64,0.261,0.898,0.739,0.981,0.261,0.583359492661719,0.898,0.04672366333269562,-1.87,0.0306,0.916,0.969,0.991,0.0306,1.51427857351842,0.916,0.0381045263321496,-0.94,0.174,0.925,0.826,0.984,0.174,0.7594507517174003,0.925,0.03385826726096737
VUIXD96,0.25,0.6,0.987,0.4,0.981,0.4,0.3979400086720376,0.981,0.008330992620051497,-1.87,0.031,0.916,0.969,0.991,0.031,1.5086383061657274,0.916,0.0381045263321496,1.71,0.956,1.0,0.0437,0.859,0.0437,1.359518563029578,0.859,0.0660068361687577
YGLRQ239,-0.05,0.481,0.968,0.519,0.981,0.481,0.31785492362616824,0.968,0.014124642691606345,-1.86,0.0316,0.916,0.968,0.991,0.0316,1.5003129173815961,0.916,0.0381045263321496,-1.47,0.071,0.925,0.929,0.986,0.071,1.1487416512809248,0.925,0.03385826726096737
DZTA92,0.49,0.687,0.988,0.313,0.981,0.313,0.5044556624535516,0.981,0.008330992620051497,-1.85,0.0321,0.916,0.968,0.991,0.0321,1.493494967595128,0.916,0.0381045263321496,1.19,0.883,1.0,0.117,0.937,0.117,0.9318141382538383,0.937,0.02826040911222171
WTX1,0.93,0.824,0.999,0.176,0.978,0.176,0.7544873321858502,0.978,0.009661145212398569,-1.85,0.0323,0.916,0.968,0.991,0.0323,1.490797477668897,0.916,0.0381045263321496,-0.94,0.175,0.925,0.825,0.984,0.175,0.7569619513137056,0.925,0.03385826726096737
XIBQ9,-0.35,0.364,0.92,0.636,0.981,0.364,0.438898616350944,0.92,0.036212172654444715,-1.85,0.0324,0.916,0.968,0.991,0.0324,1.489454989793388,0.916,0.0381045263321496,-1.13,0.128,0.925,0.872,0.984,0.128,0.8927900303521317,0.925,0.03385826726096737
AYUID7,1.59,0.944,0.999,0.0563,0.835,0.0563,1.2494916051486538,0.835,0.07831352451639793,-1.83,0.0338,0.916,0.966,0.991,0.0338,1.4710832997223453,0.916,0.0381045263321496,-0.55,0.292,0.925,0.708,0.984,0.292,0.5346171485515817,0.925,0.03385826726096737
AQU05,-0.09,0.463,0.964,0.537,0.981,0.463,0.33441900898204685,0.964,0.01592296609716924,-1.82,0.0342,0.916,0.966,0.991,0.0342,1.465973893943865,0.916,0.0381045263321496,-0.77,0.222,0.925,0.778,0.984,0.222,0.6536470255493614,0.925,0.03385826726096737
TDQCE02,-0.08,0.467,0.966,0.533,0.981,0.467,0.33068311943388784,0.966,0.015022873584506671,-1.82,0.0347,0.916,0.965,0.991,0.0347,1.4596705252091262,0.916,0.0381045263321496,-0.78,0.218,0.925,0.782,0.984,0.218,0.6615435063953952,0.925,0.03385826726096737
ZOWLP5,-0.44,0.33,0.909,0.67,0.981,0.33,0.4814860601221125,0.909,0.041436116778032536,-1.8,0.0357,0.916,0.964,0.991,0.0357,1.4473317838878068,0.916,0.0381045263321496,-0.37,0.355,0.945,0.645,0.984,0.355,0.44977164694490596,0.945,0.024568191490737076
VKG1,1.24,0.892,0.999,0.108,0.915,0.108,0.9665762445130504,0.915,0.038578905933551705,-1.79,0.0369,0.916,0.963,0.99,0.0369,1.4329736338409396,0.916,0.0381045263321496,-2.33,0.00994,0.925,0.99,0.996,0.00994,2.002613615602687,0.925,0.03385826726096737
SGE3,1.34,0.91,0.999,0.0903,0.915,0.0903,1.0443122496864943,0.915,0.038578905933551705,-1.79,0.037,0.916,0.963,0.99,0.037,1.431798275933005,0.916,0.0381045263321496,-0.45,0.325,0.944,0.675,0.984,0.325,0.4881166390211256,0.944,0.02502800570193105
DOQ19,1.04,0.85,0.999,0.15,0.953,0.15,0.8239087409443188,0.953,0.02090709936167361,-1.79,0.0371,0.916,0.963,0.99,0.0371,1.4306260903849541,0.916,0.0381045263321496,0.04,0.516,0.97,0.484,0.984,0.484,0.31515463835558755,0.97,0.01322826573375516
IVXJO0,-0.92,0.179,0.897,0.821,0.981,0.179,0.7471469690201068,0.897,0.047207556955907906,-1.76,0.0396,0.916,0.96,0.989,0.0396,1.4023048140744876,0.916,0.0381045263321496,0.71,0.762,0.998,0.238,0.979,0.238,0.623423042943488,0.979,0.009217308196862183
INOV10,-0.31,0.379,0.929,0.621,0.981,0.379,0.42136079003192767,0.929,0.03198428600635821,-1.75,0.0397,0.916,0.96,0.989,0.0397,1.401209493236885,0.916,0.0381045263321496,-1.19,0.117,0.925,0.883,0.984,0.117,0.9318141382538383,0.925,0.03385826726096737
IIR0,-1.03,0.152,0.897,0.848,0.981,0.152,0.8181564120552275,0.897,0.047207556955907906,-1.75,0.0401,0.916,0.96,0.989,0.0401,1.3968556273798178,0.916,0.0381045263321496,0.77,0.779,0.998,0.221,0.979,0.221,0.6556077263148893,0.979,0.009217308196862183
RZE5,-0.45,0.326,0.909,0.674,0.981,0.326,0.48678239993206096,0.909,0.041436116778032536,-1.74,0.0411,0.916,0.959,0.989,0.0411,1.3861581781239307,0.916,0.0381045263321496,0.38,0.648,0.981,0.352,0.984,0.352,0.453457336521869,0.981,0.008330992620051497
QDCZM45,-0.75,0.227,0.897,0.773,0.981,0.227,0.6439741428068773,0.897,0.047207556955907906,-1.74,0.0413,0.916,0.959,0.989,0.0413,1.3840499483435988,0.916,0.0381045263321496,0.19,0.573,0.972,0.427,0.984,0.427,0.36957212497497616,0.972,0.012333735073725434
ETOBK6,0.03,0.513,0.97,0.487,0.981,0.487,0.3124710387853657,0.97,0.01322826573375516,-1.72,0.0426,0.916,0.957,0.988,0.0426,1.3705904008972811,0.916,0.0381045263321496,0.01,0.503,0.97,0.497,0.984,0.497,0.3036436112666679,0.97,0.01322826573375516
TEAGL48,-0.15,0.442,0.952,0.558,0.981,0.442,0.3545777306509081,0.952,0.021363051615525673,-1.72,0.0429,0.916,0.957,0.988,0.0429,1.3675427078152758,0.916,0.0381045263321496,-1.55,0.0604,0.925,0.94,0.986,0.0604,1.2189630613788682,0.925,0.03385826726096737
QLJCQ6,1.81,0.965,0.999,0.0348,0.815,0.0348,1.458420756053419,0.815,0.08884239126002341,-1.72,0.043,0.916,0.957,0.988,0.043,1.3665315444204136,0.916,0.0381045263321496,-0.39,0.347,0.945,0.653,0.984,0.347,0.4596705252091263,0.945,0.024568191490737076
PUQ51,0.18,0.571,0.986,0.429,0.981,0.429,0.36754270781527576,0.981,0.008330992620051497,-1.69,0.0455,0.916,0.954,0.987,0.0455,1.3419886033428876,0.916,0.0381045263321496,-0.62,0.268,0.925,0.732,0.984,0.268,0.5718652059712112,0.925,0.03385826726096737
WIKBZ39,1.78,0.962,0.999,0.0377,0.815,0.0377,1.4236586497942072,0.815,0.08884239126002341,-1.69,0.0457,0.916,0.954,0.987,0.0457,1.3400837999301498,0.916,0.0381045263321496,1.81,0.965,1.0,0.0351,0.831,0.0351,1.454692883534176,0.831,0.08039897621588903
UHMQ5,0.79,0.786,0.993,0.214,0.981,0.214,0.6695862266508091,0.981,0.008330992620051497,-1.69,0.0457,0.916,0.954,0.987,0.0457,1.3400837999301498,0.916,0.0381045263321496,-1.01,0.155,0.925,0.845,0.984,0.155,0.8096683018297085,0.925,0.03385826726096737
EQPUW254,0.03,0.514,0.97,0.486,0.981,0.486,0.3133637307377066,0.97,0.01322826573375516,-1.69,0.0458,0.916,0.954,0.987,0.0458,1.3391345219961308,0.916,0.0381045263321496,0.23,0.592,0.974,0.408,0.984,0.408,0.3893398369101201,0.974,0.011441043121384482
TGSTA9,-0.16,0.437,0.952,0.563,0.981,0.437,0.3595185630295782,0.952,0.021363051615525673,-1.69,0.0459,0.916,0.954,0.987,0.0459,1.3381873144627388,0.916,0.0381045263321496,-1.41,0.0792,0.925,0.921,0.986,0.0792,1.1012748184105066,0.925,0.03385826726096737
DCE5,-1.84,0.0331,0.897,0.967,0.987,0.0331,1.4801720062242814,0.897,0.047207556955907906,-1.69,0.0459,0.916,0.954,0.987,0.0459,1.3381873144627388,0.916,0.0381045263321496,-0.7,0.242,0.925,0.758,0.984,0.242,0.6161846340195687,0.925,0.03385826726096737
DAL65,0.33,0.63,0.987,0.37,0.981,0.37,0.431798275933005,0.981,0.008330992620051497,-1.68,0.0463,0.916,0.954,0.987,0.0463,1.334419008982047,0.916,0.0381045263321496,0.53,0.703,0.986,0.297,0.984,0.297,0.5272435506827877,0.984,0.007004901568658489
NMGB389,-1.26,0.104,0.897,0.896,0.981,0.104,0.9829666607012196,0.897,0.047207556955907906,-1.68,0.0467,0.916,0.953,0.987,0.0467,1.330683119433888,0.916,0.0381045263321496,-0.26,0.399,0.952,0.601,0.984,0.399,0.3990271043132517,0.952,0.021363051615525673
QVHNP15,-0.02,0.493,0.969,0.507,0.981,0.493,0.30715308072277,0.969,0.013676222949234686,-1.68,0.0469,0.916,0.953,0.987,0.0469,1.3288271572849168,0.916,0.0381045263321496,-0.38,0.352,0.945,0.648,0.984,0.352,0.453457336521869,0.945,0.024568191490737076
PPDBK2,1.28,0.901,0.999,0.0994,0.915,0.0994,1.0026136156026866,0.915,0.038578905933551705,-1.67,0.0472,0.916,0.953,0.987,0.0472,1.3260580013659122,0.916,0.0381045263321496,0.06,0.525,0.97,0.475,0.984,0.475,0.3233063903751334,0.97,0.01322826573375516
TAKT409,-1.25,0.105,0.897,0.895,0.981,0.105,0.978810700930062,0.897,0.047207556955907906,-1.67,0.0476,0.916,0.952,0.987,0.0476,1.322393047279507,0.916,0.0381045263321496,-0.15,0.44,0.959,0.56,0.984,0.44,0.3565473235138126,0.959,0.018181392829336417
YGYRD21,-0.37,0.355,0.92,0.645,0.981,0.355,0.44977164694490596,0.92,0.036212172654444715,-1.67,0.0477,0.916,0.952,0.987,0.0477,1.321481620959886,0.916,0.0381045263321496,-0.47,0.32,0.943,0.68,0.984,0.32,0.494850021680094,0.943,0.02548830726267165
KXKC7,0.61,0.728,0.988,0.272,0.981,0.272,0.5654310959658012,0.981,0.008330992620051497,-1.66,0.0482,0.916,0.952,0.987,0.0482,1.3169529617611504,0.916,0.0381045263321496,0.3,0.619,0.975,0.381,0.984,0.381,0.4190750243243807,0.975,0.010995384301463193
HME8,0.1,0.54,0.971,0.46,0.981,0.46,0.3372421683184259,0.971,0.012780770091995148,-1.65,0.0495,0.916,0.95,0.987,0.0495,1.3053948010664314,0.916,0.0381045263321496,-0.7,0.241,0.925,0.759,0.984,0.241,0.6179829574251317,0.925,0.03385826726096737
GPD0,2.02,0.978,0.999,0.0219,0.679,0.0219,1.6595558851598817,0.679,0.1681302257194983,-1.64,0.0502,0.916,0.95,0.987,0.0502,1.2992962828549806,0.916,0.0381045263321496,-1.16,0.122,0.925,0.878,0.984,0.122,0.9136401693252518,0.925,0.03385826726096737
SHVOR67,0.45,0.674,0.988,0.326,0.981,0.326,0.48678239993206096,0.981,0.008330992620051497,-1.64,0.0503,0.916,0.95,0.987,0.0503,1.2984320149440727,0.916,0.0381045263321496,0.48,0.683,0.981,0.317,0.984,0.317,0.4989407377822485,0.981,0.008330992620051497
QGFY128,-0.61,0.27,0.898,0.73,0.981,0.27,0.5686362358410126,0.898,0.04672366333269562,-1.64,0.0508,0.916,0.949,0.987,0.0508,1.2941362877160807,0.916,0.0381045263321496,0.24,0.595,0.974,0.405,0.984,0.405,0.3925449767853314,0.974,0.011441043121384482
FPH4,-0.59,0.277,0.898,0.723,0.981,0.277,0.5575202309355514,0.898,0.04672366333269562,-1.63,0.0513,0.916,0.949,0.987,0.0513,1.2898826348881838,0.916,0.0381045263321496,0.16,0.565,0.972,0.435,0.984,0.435,0.3615107430453627,0.972,0.012333735073725434
RKS40,-0.45,0.327,0.909,0.673,0.981,0.327,0.4854522473397139,0.909,0.041436116778032536,-1.63,0.0515,0.916,0.949,0.987,0.0515,1.288192770958809,0.916,0.0381045263321496,0.07,0.528,0.97,0.472,0.984,0.472,0.32605800136591223,0.97,0.01322826573375516
SSEPL459,0.31,0.621,0.987,0.379,0.981,0.379,0.42136079003192767,0.981,0.008330992620051497,-1.63,0.0521,0.916,0.948,0.987,0.0521,1.2831622767004756,0.916,0.0381045263321496,1.15,0.875,1.0,0.125,0.949,0.125,0.9030899869919435,0.949,0.022733787572707352
DRY8,-0.25,0.403,0.943,0.597,0.981,0.403,0.39469495385889053,0.943,0.02548830726267165,-1.62,0.0524,0.916,0.948,0.987,0.0524,1.2806687130162733,0.916,0.0381045263321496,-1.33,0.0921,0.925,0.908,0.984,0.0921,1.035740369803151,0.925,0.03385826726096737
AULR52,-0.92,0.18,0.897,0.82,0.981,0.18,0.744727494896694,0.897,0.047207556955907906,-1.62,0.0525,0.916,0.947,0.987,0.0525,1.2798406965940432,0.916,0.0381045263321496,0.86,0.804,0.998,0.196,0.963,0.196,0.707743928643524,0.963,0.0163737128754655
DFLON760,-1.15,0.125,0.897,0.875,0.981,0.125,0.9030899869919435,0.897,0.047207556955907906,-1.62,0.0527,0.916,0.947,0.987,0.0527,1.2781893847874535,0.916,0.0381045263321496,-1.7,0.0445,0.925,0.955,0.987,0.0445,1.3516399890190685,0.925,0.03385826726096737
KPD286,-0.81,0.21,0.897,0.79,0.981,0.21,0.6777807052660807,0.897,0.047207556955907906,-1.62,0.0529,0.916,0.947,0.987,0.0529,1.2765443279648143,0.916,0.0381045263321496,1.07,0.857,1.0,0.143,0.953,0.143,0.8446639625349383,0.953,0.02090709936167361
