GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
MCBLV349	-3.28	2	-1.30	0.0964	176	0.897	0.904	1826	0.981
NFPZ56	-3.28	2	-1.30	0.0967	177	0.897	0.903	1825	0.981
SZIRP02	-3.26	2	-1.29	0.098	178	0.897	0.902	1824	0.981
ZQGS920	-3.25	2	-1.29	0.099	179	0.897	0.901	1823	0.981
SMNR610	-3.25	2	-1.29	0.0991	180	0.897	0.901	1822	0.981
TENRW2	-3.25	2	-1.28	0.0994	181	0.897	0.901	1821	0.981
VIRN168	-3.24	2	-1.28	0.0999	182	0.897	0.9	1820	0.981
SVD34	-3.23	2	-1.28	0.101	183	0.897	0.899	1819	0.981
EVW48	-3.23	2	-1.28	0.101	184	0.897	0.899	1818	0.981
WBJDP19	-3.23	2	-1.27	0.101	185	0.897	0.899	1817	0.981
WLRV04	-3.22	2	-1.27	0.102	186	0.897	0.898	1816	0.981
YSUMW896	-3.21	2	-1.27	0.103	187	0.897	0.897	1815	0.981
YVRMP42	-3.21	2	-1.27	0.103	188	0.897	0.897	1814	0.981
GOHJC923	-3.21	2	-1.27	0.103	189	0.897	0.897	1813	0.981
IURB59	-3.21	2	-1.26	0.103	190	0.897	0.897	1812	0.981
GHMS31	-3.21	2	-1.26	0.103	191	0.897	0.897	1811	0.981
YUS689	-3.20	2	-1.26	0.104	192	0.897	0.896	1810	0.981
NMGB389	-3.20	2	-1.26	0.104	193	0.897	0.896	1809	0.981
WMQN43	-3.20	2	-1.26	0.104	194	0.897	0.896	1808	0.981
DWQ4	-3.20	2	-1.26	0.104	195	0.897	0.896	1807	0.981
FQEK0	-3.20	2	-1.26	0.104	196	0.897	0.896	1806	0.981
KTOH6	-3.20	2	-1.26	0.104	197	0.897	0.896	1805	0.981
TELV1	-3.20	2	-1.26	0.104	198	0.897	0.896	1804	0.981
JNWMB350	-3.19	2	-1.26	0.104	199	0.897	0.896	1803	0.981
VXYJV284	-3.19	2	-1.25	0.105	200	0.897	0.895	1802	0.981
TAKT409	-3.18	2	-1.25	0.105	201	0.897	0.895	1801	0.981
ZZO84	-3.18	2	-1.25	0.106	202	0.897	0.894	1800	0.981
EQK6	-3.18	2	-1.25	0.106	203	0.897	0.894	1799	0.981
OXPLB67	-3.18	2	-1.25	0.106	204	0.897	0.894	1798	0.981
SKZHS05	-3.18	2	-1.25	0.106	205	0.897	0.894	1797	0.981
ITKR371	-3.17	2	-1.24	0.107	206	0.897	0.893	1796	0.981
FDL5	-3.16	2	-1.24	0.108	207	0.897	0.892	1795	0.981
PLMX321	-3.16	2	-1.24	0.108	208	0.897	0.892	1794	0.981
OQB65	-3.15	2	-1.24	0.108	209	0.897	0.892	1793	0.981
VTFV68	-3.15	2	-1.23	0.109	210	0.897	0.891	1792	0.981
EICB3	-3.15	2	-1.23	0.109	211	0.897	0.891	1791	0.981
CRUO9	-3.15	2	-1.23	0.109	212	0.897	0.891	1790	0.981
ZJAPG980	-3.14	2	-1.23	0.109	213	0.897	0.891	1789	0.981
MVPN75	-3.14	2	-1.23	0.11	214	0.897	0.89	1788	0.981
NFZ0	-3.13	2	-1.23	0.11	215	0.897	0.89	1787	0.981
MCU12	-3.13	2	-1.22	0.111	216	0.897	0.889	1786	0.981
UKPQ864	-3.12	2	-1.22	0.111	217	0.897	0.889	1785	0.981
RCH51	-3.12	2	-1.22	0.112	218	0.897	0.888	1784	0.981
OPL085	-3.10	2	-1.21	0.113	219	0.897	0.887	1783	0.981
NGR3	-3.10	2	-1.21	0.113	220	0.897	0.887	1782	0.981
VTNM861	-3.10	2	-1.21	0.113	221	0.897	0.887	1781	0.981
TUZ56	-3.09	2	-1.20	0.114	222	0.897	0.886	1780	0.981
ZAI83	-3.09	2	-1.20	0.114	223	0.897	0.886	1779	0.981
MPHV40	-3.09	2	-1.20	0.115	224	0.897	0.885	1778	0.981
JFGY658	-3.08	2	-1.20	0.115	225	0.897	0.885	1777	0.981
NQBVP2	-3.08	2	-1.20	0.115	226	0.897	0.885	1776	0.981
MRD215	-3.07	2	-1.19	0.117	227	0.897	0.883	1775	0.981
GQK21	-3.06	2	-1.19	0.117	228	0.897	0.883	1774	0.981
VYFIK580	-3.06	2	-1.19	0.117	229	0.897	0.883	1773	0.981
ZIB42	-3.06	2	-1.19	0.117	230	0.897	0.883	1772	0.981
QNG48	-3.05	2	-1.18	0.118	231	0.897	0.882	1771	0.981
FVFLI1	-3.04	2	-1.18	0.119	232	0.897	0.881	1770	0.981
ARP5	-3.04	2	-1.18	0.119	233	0.897	0.881	1769	0.981
NSJM91	-3.04	2	-1.18	0.119	234	0.897	0.881	1768	0.981
AXW25	-3.03	2	-1.17	0.12	235	0.897	0.88	1767	0.981
RXQB89	-3.03	2	-1.17	0.12	236	0.897	0.88	1766	0.981
WNM189	-3.03	2	-1.17	0.121	237	0.897	0.879	1765	0.981
OVRL7	-3.02	2	-1.17	0.122	238	0.897	0.878	1764	0.981
PGBFZ9	-3.02	2	-1.17	0.122	239	0.897	0.878	1763	0.981
GID751	-3.01	2	-1.16	0.122	240	0.897	0.878	1762	0.981
ZIZS92	-3.00	2	-1.16	0.123	241	0.897	0.877	1761	0.981
QVXRF740	-3.00	2	-1.16	0.124	242	0.897	0.876	1760	0.981
MCSL45	-3.00	2	-1.16	0.124	243	0.897	0.876	1759	0.981
TOIG64	-2.99	2	-1.15	0.124	244	0.897	0.876	1758	0.981
PMZ908	-2.99	2	-1.15	0.125	245	0.897	0.875	1757	0.981
DFLON760	-2.99	2	-1.15	0.125	246	0.897	0.875	1756	0.981
ICBSE5	-2.98	2	-1.15	0.126	247	0.897	0.874	1755	0.981
ZJXVG53	-2.98	2	-1.15	0.126	248	0.897	0.874	1754	0.981
FYEDV35	-2.97	2	-1.14	0.127	249	0.897	0.873	1753	0.981
PVXO52	-2.97	2	-1.14	0.127	250	0.897	0.873	1752	0.981
LWKRP187	-2.96	2	-1.14	0.127	251	0.897	0.873	1751	0.981
XHTQ268	-2.96	2	-1.14	0.128	252	0.897	0.872	1750	0.981
IHP736	-2.95	2	-1.13	0.129	253	0.897	0.871	1749	0.981
HBG1	-2.95	2	-1.13	0.129	254	0.897	0.871	1748	0.981
MREGZ06	-2.95	2	-1.13	0.129	255	0.897	0.871	1747	0.981
YMSLO6	-2.95	2	-1.13	0.129	256	0.897	0.871	1746	0.981
UEG50	-2.94	2	-1.13	0.13	257	0.897	0.87	1745	0.981
YUP9	-2.94	2	-1.13	0.13	258	0.897	0.87	1744	0.981
JQOZH147	-2.94	2	-1.12	0.13	259	0.897	0.87	1743	0.981
QTP5	-2.94	2	-1.12	0.13	260	0.897	0.87	1742	0.981
MGKJ59	-2.94	2	-1.12	0.13	261	0.897	0.87	1741	0.981
ARX59	-2.93	2	-1.12	0.131	262	0.897	0.869	1740	0.981
LGB8	-2.93	2	-1.12	0.131	263	0.897	0.869	1739	0.981
PRDTK8	-2.93	2	-1.12	0.131	264	0.897	0.869	1738	0.981
EVTX873	-2.93	2	-1.12	0.131	265	0.897	0.869	1737	0.981
SOX241	-2.93	2	-1.12	0.131	266	0.897	0.869	1736	0.981
UGN294	-2.92	2	-1.12	0.132	267	0.897	0.868	1735	0.981
AXWZ1	-2.92	2	-1.12	0.132	268	0.897	0.868	1734	0.981
NAE6	-2.92	2	-1.12	0.132	269	0.897	0.868	1733	0.981
TBCPS2	-2.92	2	-1.12	0.132	270	0.897	0.868	1732	0.981
RTGPB014	-2.92	2	-1.11	0.132	271	0.897	0.868	1731	0.981
QVHTZ2	-2.91	2	-1.11	0.133	272	0.897	0.867	1730	0.981
INKVA045	-2.91	2	-1.11	0.133	273	0.897	0.867	1729	0.981
VQT5	-2.91	2	-1.11	0.133	274	0.897	0.867	1728	0.981
SZOHR216	-2.90	2	-1.11	0.134	275	0.897	0.866	1727	0.981
PXHI09	-2.90	2	-1.10	0.135	276	0.897	0.865	1726	0.981
PMY438	-2.88	2	-1.10	0.137	277	0.897	0.863	1725	0.981
JHETG51	-2.87	2	-1.09	0.137	278	0.897	0.863	1724	0.981
RLKP1	-2.87	2	-1.09	0.137	279	0.897	0.863	1723	0.981
OSL49	-2.87	2	-1.09	0.138	280	0.897	0.862	1722	0.981
YTINW5	-2.87	2	-1.09	0.138	281	0.897	0.862	1721	0.981
UPNSR601	-2.87	2	-1.09	0.138	282	0.897	0.862	1720	0.981
CHXQ708	-2.87	2	-1.09	0.138	283	0.897	0.862	1719	0.981
GTVIH796	-2.86	2	-1.08	0.139	284	0.897	0.861	1718	0.981
FBQU893	-2.85	2	-1.08	0.14	285	0.897	0.86	1717	0.981
FDJZ3	-2.85	2	-1.08	0.14	286	0.897	0.86	1716	0.981
YXWAV1	-2.85	2	-1.08	0.14	287	0.897	0.86	1715	0.981
EUBC8	-2.85	2	-1.08	0.14	288	0.897	0.86	1714	0.981
HMS420	-2.85	2	-1.08	0.14	289	0.897	0.86	1713	0.981
UKTM90	-2.84	2	-1.08	0.141	290	0.897	0.859	1712	0.981
ZBJS856	-2.84	2	-1.07	0.141	291	0.897	0.859	1711	0.981
DLUNT73	-2.84	2	-1.07	0.142	292	0.897	0.858	1710	0.981
OTU28	-2.83	2	-1.07	0.142	293	0.897	0.858	1709	0.981
HAR8	-2.83	2	-1.07	0.142	294	0.897	0.858	1708	0.981
GNQI372	-2.83	2	-1.07	0.142	295	0.897	0.858	1707	0.981
YRAUE25	-2.83	2	-1.07	0.143	296	0.897	0.857	1706	0.981
YUZ4	-2.82	2	-1.07	0.143	297	0.897	0.857	1705	0.981
LSP169	-2.82	2	-1.07	0.143	298	0.897	0.857	1704	0.981
QOY509	-2.82	2	-1.07	0.143	299	0.897	0.857	1703	0.981
LOP7	-2.81	2	-1.06	0.145	300	0.897	0.855	1702	0.981
IVERG039	-2.81	2	-1.06	0.145	301	0.897	0.855	1701	0.981
PBUI30	-2.81	2	-1.06	0.145	302	0.897	0.855	1700	0.981
QRG19	-2.80	2	-1.05	0.146	303	0.897	0.854	1699	0.981
CEZL2	-2.80	2	-1.05	0.146	304	0.897	0.854	1698	0.981
CSQP7	-2.80	2	-1.05	0.146	305	0.897	0.854	1697	0.981
MAMWO2	-2.79	2	-1.05	0.148	306	0.897	0.852	1696	0.981
HYE8	-2.78	2	-1.05	0.148	307	0.897	0.852	1695	0.981
MIVUD0	-2.78	2	-1.05	0.148	308	0.897	0.852	1694	0.981
OJG31	-2.78	2	-1.04	0.149	309	0.897	0.851	1693	0.981
XDUKG93	-2.77	2	-1.04	0.15	310	0.897	0.85	1692	0.981
VDLG410	-2.77	2	-1.04	0.15	311	0.897	0.85	1691	0.981
DBM1	-2.76	2	-1.03	0.151	312	0.897	0.849	1690	0.981
IIR0	-2.75	2	-1.03	0.152	313	0.897	0.848	1689	0.981
MER26	-2.75	2	-1.03	0.152	314	0.897	0.848	1688	0.981
PAQEU5	-2.75	2	-1.03	0.152	315	0.897	0.848	1687	0.981
XVRL427	-2.75	2	-1.03	0.152	316	0.897	0.848	1686	0.981
BXNDH986	-2.75	2	-1.03	0.152	317	0.897	0.848	1685	0.981
SYKW10	-2.74	2	-1.02	0.154	318	0.897	0.846	1684	0.981
XAL4	-2.73	2	-1.02	0.154	319	0.897	0.846	1683	0.981
SMSTX9	-2.73	2	-1.02	0.154	320	0.897	0.846	1682	0.981
YLA2	-2.73	2	-1.02	0.154	321	0.897	0.846	1681	0.981
YBTF8	-2.73	2	-1.02	0.154	322	0.897	0.846	1680	0.981
MLN24	-2.73	2	-1.02	0.154	323	0.897	0.846	1679	0.981
ZYZF84	-2.73	2	-1.02	0.155	324	0.897	0.845	1678	0.981
JSXFN3	-2.72	2	-1.01	0.155	325	0.897	0.845	1677	0.981
IRQCI9	-2.72	2	-1.01	0.156	326	0.897	0.844	1676	0.981
JAKL71	-2.72	2	-1.01	0.156	327	0.897	0.844	1675	0.981
FXQUV987	-2.71	2	-1.01	0.156	328	0.897	0.844	1674	0.981
SHA2	-2.71	2	-1.01	0.156	329	0.897	0.844	1673	0.981
FVO48	-2.71	2	-1.01	0.157	330	0.897	0.843	1672	0.981
NTS0	-2.71	2	-1.01	0.157	331	0.897	0.843	1671	0.981
ZGD378	-2.70	2	-1.00	0.158	332	0.897	0.842	1670	0.981
IES702	-2.70	2	-1.00	0.158	333	0.897	0.842	1669	0.981
YEFH74	-2.70	2	-1.00	0.158	334	0.897	0.842	1668	0.981
WTQMD74	-2.69	2	-1.00	0.159	335	0.897	0.841	1667	0.981
YRGVA46	-2.69	2	-1.00	0.159	336	0.897	0.841	1666	0.981
ERA349	-2.69	2	-1.00	0.159	337	0.897	0.841	1665	0.981
SFO6	-2.69	2	-1.00	0.16	338	0.897	0.84	1664	0.981
VMOR0	-2.67	2	-0.99	0.162	339	0.897	0.838	1663	0.981
BSW9	-2.67	2	-0.99	0.162	340	0.897	0.838	1662	0.981
ETOJ95	-2.67	2	-0.99	0.162	341	0.897	0.838	1661	0.981
WQCB87	-2.67	2	-0.99	0.162	342	0.897	0.838	1660	0.981
YQDC19	-2.67	2	-0.99	0.162	343	0.897	0.838	1659	0.981
XROFJ3	-2.67	2	-0.99	0.162	344	0.897	0.838	1658	0.981
XFYEO0	-2.67	2	-0.99	0.162	345	0.897	0.838	1657	0.981
UJFG7	-2.67	2	-0.99	0.162	346	0.897	0.838	1656	0.981
MNW026	-2.67	2	-0.99	0.162	347	0.897	0.838	1655	0.981
CFNQC942	-2.65	2	-0.98	0.164	348	0.897	0.836	1654	0.981
BAVR1	-2.65	2	-0.98	0.164	349	0.897	0.836	1653	0.981
PADJV79	-2.65	2	-0.98	0.164	350	0.897	0.836	1652	0.981
BRABI2	-2.64	2	-0.97	0.165	351	0.897	0.835	1651	0.981
