GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
XQINW135	-4.18	2	-1.72	0.0423	63	0.925	0.958	1939	0.987
NMBG5	-4.18	2	-1.72	0.0423	64	0.925	0.958	1938	0.987
NXVYO82	-4.15	2	-1.71	0.0436	65	0.925	0.956	1937	0.987
DFLON760	-4.13	2	-1.70	0.0445	66	0.925	0.955	1936	0.987
DJU26	-4.12	2	-1.70	0.045	67	0.925	0.955	1935	0.987
LLFZ9	-4.12	2	-1.70	0.045	68	0.925	0.955	1934	0.987
EKRWB8	-4.11	2	-1.69	0.0454	69	0.925	0.955	1933	0.987
MLWA964	-4.11	2	-1.69	0.0454	70	0.925	0.955	1932	0.987
OJPWR6	-4.08	2	-1.68	0.0468	71	0.925	0.953	1931	0.987
AWM5	-4.03	2	-1.65	0.0493	72	0.925	0.951	1930	0.986
XRDF96	-4.03	2	-1.65	0.0495	73	0.925	0.951	1929	0.986
PHUZO645	-4.03	2	-1.65	0.0495	74	0.925	0.951	1928	0.986
ZVJT952	-4.03	2	-1.65	0.0497	75	0.925	0.95	1927	0.986
HUCQ38	-4.02	2	-1.64	0.0502	76	0.925	0.95	1926	0.986
BCDOX2	-4.02	2	-1.64	0.0502	77	0.925	0.95	1925	0.986
PUXQE91	-4.01	2	-1.64	0.0503	78	0.925	0.95	1924	0.986
AKY487	-4.01	2	-1.64	0.0505	79	0.925	0.949	1923	0.986
ZZD3	-4.01	2	-1.64	0.0505	80	0.925	0.949	1922	0.986
GHCI5	-4.01	2	-1.64	0.0507	81	0.925	0.949	1921	0.986
OPL085	-3.99	2	-1.63	0.0515	82	0.925	0.948	1920	0.986
XYQ9	-3.99	2	-1.63	0.0517	83	0.925	0.948	1919	0.986
QYLE234	-3.99	2	-1.63	0.0518	84	0.925	0.948	1918	0.986
PKC6	-3.97	2	-1.62	0.0526	85	0.925	0.947	1917	0.986
SZOHR216	-3.97	2	-1.62	0.0527	86	0.925	0.947	1916	0.986
ZOH2	-3.96	2	-1.62	0.0531	87	0.925	0.947	1915	0.986
WJHK541	-3.96	2	-1.61	0.0533	88	0.925	0.947	1914	0.986
YGV296	-3.95	2	-1.61	0.0539	89	0.925	0.946	1913	0.986
DNDY25	-3.94	2	-1.61	0.0542	90	0.925	0.946	1912	0.986
AAPZ82	-3.92	2	-1.60	0.0553	91	0.925	0.945	1911	0.986
TJSCE732	-3.92	2	-1.59	0.0554	92	0.925	0.945	1910	0.986
FGR20	-3.92	2	-1.59	0.0555	93	0.925	0.944	1909	0.986
ZIZS92	-3.92	2	-1.59	0.0556	94	0.925	0.944	1908	0.986
KRZ9	-3.92	2	-1.59	0.0557	95	0.925	0.944	1907	0.986
ESF241	-3.91	2	-1.59	0.056	96	0.925	0.944	1906	0.986
LDSAX35	-3.88	2	-1.57	0.0577	97	0.925	0.942	1905	0.986
WEHMF853	-3.88	2	-1.57	0.0578	98	0.925	0.942	1904	0.986
BNY6	-3.88	2	-1.57	0.0579	99	0.925	0.942	1903	0.986
TOWKQ214	-3.88	2	-1.57	0.058	100	0.925	0.942	1902	0.986
QSDPT1	-3.87	2	-1.57	0.0582	101	0.925	0.942	1901	0.986
ALK587	-3.86	2	-1.56	0.0592	102	0.925	0.941	1900	0.986
MSBNZ98	-3.85	2	-1.56	0.0597	103	0.925	0.94	1899	0.986
XFTH64	-3.84	2	-1.55	0.0602	104	0.925	0.94	1898	0.986
LBTSD348	-3.84	2	-1.55	0.0602	105	0.925	0.94	1897	0.986
TEAGL48	-3.84	2	-1.55	0.0604	106	0.925	0.94	1896	0.986
WOSX96	-3.83	2	-1.55	0.0605	107	0.925	0.94	1895	0.986
SOX241	-3.82	2	-1.54	0.0616	108	0.925	0.938	1894	0.986
LECN1	-3.81	2	-1.54	0.0617	109	0.925	0.938	1893	0.986
ITKR371	-3.81	2	-1.54	0.0621	110	0.925	0.938	1892	0.986
CSUF654	-3.80	2	-1.53	0.0625	111	0.925	0.937	1891	0.986
LWH613	-3.79	2	-1.53	0.0634	112	0.925	0.937	1890	0.986
KBDZF7	-3.78	2	-1.53	0.0636	113	0.925	0.936	1889	0.986
DWQ4	-3.78	2	-1.52	0.0636	114	0.925	0.936	1888	0.986
WUJOX07	-3.77	2	-1.52	0.0642	115	0.925	0.936	1887	0.986
KNWC610	-3.77	2	-1.52	0.0645	116	0.925	0.936	1886	0.986
OQIJE5	-3.74	2	-1.51	0.0661	117	0.925	0.934	1885	0.986
NDVEY27	-3.74	2	-1.51	0.0661	118	0.925	0.934	1884	0.986
QBV61	-3.74	2	-1.51	0.0661	119	0.925	0.934	1883	0.986
WYQ60	-3.74	2	-1.50	0.0663	120	0.925	0.934	1882	0.986
JNFVB972	-3.73	2	-1.50	0.0667	121	0.925	0.933	1881	0.986
AAGN7	-3.71	2	-1.49	0.0685	122	0.925	0.931	1880	0.986
HQBFR6	-3.71	2	-1.49	0.0686	123	0.925	0.931	1879	0.986
QOHQU85	-3.70	2	-1.49	0.0687	124	0.925	0.931	1878	0.986
EVTX873	-3.70	2	-1.48	0.0693	125	0.925	0.931	1877	0.986
OCRL95	-3.69	2	-1.48	0.0695	126	0.925	0.93	1876	0.986
GVPQ398	-3.69	2	-1.48	0.0698	127	0.925	0.93	1875	0.986
YGLRQ239	-3.67	2	-1.47	0.071	128	0.925	0.929	1874	0.986
LGB8	-3.67	2	-1.47	0.0711	129	0.925	0.929	1873	0.986
UZQO53	-3.64	2	-1.45	0.073	130	0.925	0.927	1872	0.986
YIR64	-3.64	2	-1.45	0.0731	131	0.925	0.927	1871	0.986
MDI842	-3.64	2	-1.45	0.0733	132	0.925	0.927	1870	0.986
OJRSA17	-3.63	2	-1.45	0.074	133	0.925	0.926	1869	0.986
XED721	-3.62	2	-1.44	0.0746	134	0.925	0.925	1868	0.986
PEXP295	-3.61	2	-1.44	0.0755	135	0.925	0.925	1867	0.986
TJODX987	-3.59	2	-1.43	0.0764	136	0.925	0.924	1866	0.986
PVBHP62	-3.56	2	-1.41	0.0787	137	0.925	0.921	1865	0.986
ROS1	-3.56	2	-1.41	0.0791	138	0.925	0.921	1864	0.986
TGSTA9	-3.56	2	-1.41	0.0792	139	0.925	0.921	1863	0.986
RRIW87	-3.54	2	-1.40	0.0804	140	0.925	0.92	1862	0.986
QHS694	-3.52	2	-1.39	0.0816	141	0.925	0.918	1861	0.986
LMN271	-3.52	2	-1.39	0.0818	142	0.925	0.918	1860	0.986
OYZSK1	-3.51	2	-1.39	0.0826	143	0.925	0.917	1859	0.986
FZS29	-3.50	2	-1.38	0.0835	144	0.925	0.916	1858	0.986
GOHJC923	-3.48	2	-1.37	0.0847	145	0.925	0.915	1857	0.986
UEG50	-3.48	2	-1.37	0.0847	146	0.925	0.915	1856	0.986
MRZUC02	-3.46	2	-1.36	0.0867	147	0.925	0.913	1855	0.985
IBPWD2	-3.46	2	-1.36	0.0869	148	0.925	0.913	1854	0.985
LPW5	-3.44	2	-1.35	0.0881	149	0.925	0.912	1853	0.985
VTNM861	-3.44	2	-1.35	0.0885	150	0.925	0.912	1852	0.985
UJAN831	-3.44	2	-1.35	0.0886	151	0.925	0.911	1851	0.985
TQAR60	-3.43	2	-1.35	0.0886	152	0.925	0.911	1850	0.985
VYORS8	-3.43	2	-1.35	0.0888	153	0.925	0.911	1849	0.985
CDF745	-3.41	2	-1.33	0.091	154	0.925	0.909	1848	0.984
QTP5	-3.40	2	-1.33	0.0914	155	0.925	0.909	1847	0.984
DIM48	-3.39	2	-1.33	0.092	156	0.925	0.908	1846	0.984
DRY8	-3.39	2	-1.33	0.0921	157	0.925	0.908	1845	0.984
FUWO56	-3.39	2	-1.33	0.0922	158	0.925	0.908	1844	0.984
ZWURQ2	-3.39	2	-1.33	0.0924	159	0.925	0.908	1843	0.984
GLM96	-3.39	2	-1.32	0.0927	160	0.925	0.907	1842	0.984
YBVE916	-3.38	2	-1.32	0.0929	161	0.925	0.907	1841	0.984
GHKT37	-3.38	2	-1.32	0.0932	162	0.925	0.907	1840	0.984
NCKAJ2	-3.38	2	-1.32	0.0933	163	0.925	0.907	1839	0.984
DSH8	-3.38	2	-1.32	0.0935	164	0.925	0.906	1838	0.984
JNWMB350	-3.38	2	-1.32	0.0935	165	0.925	0.906	1837	0.984
WIBGS82	-3.37	2	-1.32	0.0939	166	0.925	0.906	1836	0.984
AXW25	-3.37	2	-1.32	0.0941	167	0.925	0.906	1835	0.984
NIED951	-3.37	2	-1.31	0.0943	168	0.925	0.906	1834	0.984
KAWB9	-3.37	2	-1.31	0.0943	169	0.925	0.906	1833	0.984
VLRAS0	-3.36	2	-1.31	0.0945	170	0.925	0.905	1832	0.984
VBT716	-3.36	2	-1.31	0.0947	171	0.925	0.905	1831	0.984
XML7	-3.36	2	-1.31	0.0949	172	0.925	0.905	1830	0.984
HBZP546	-3.36	2	-1.31	0.095	173	0.925	0.905	1829	0.984
RXT51	-3.36	2	-1.31	0.0952	174	0.925	0.905	1828	0.984
MIVUD0	-3.35	2	-1.31	0.0953	175	0.925	0.905	1827	0.984
RARKT5	-3.35	2	-1.30	0.096	176	0.925	0.904	1826	0.984
GOQM86	-3.33	2	-1.30	0.0975	177	0.925	0.902	1825	0.984
LKF268	-3.33	2	-1.29	0.0977	178	0.925	0.902	1824	0.984
XNTL0	-3.32	2	-1.29	0.0985	179	0.925	0.902	1823	0.984
JSY9	-3.31	2	-1.29	0.0991	180	0.925	0.901	1822	0.984
UAJP19	-3.30	2	-1.28	0.1	181	0.925	0.9	1821	0.984
ONJ5	-3.29	2	-1.28	0.101	182	0.925	0.899	1820	0.984
ICI8	-3.29	2	-1.28	0.101	183	0.925	0.899	1819	0.984
UGEU87	-3.25	2	-1.26	0.104	184	0.925	0.896	1818	0.984
LILHC375	-3.24	2	-1.25	0.106	185	0.925	0.894	1817	0.984
EETQK5	-3.24	2	-1.25	0.106	186	0.925	0.894	1816	0.984
BIUX1	-3.23	2	-1.25	0.106	187	0.925	0.894	1815	0.984
IPWN0	-3.22	2	-1.24	0.107	188	0.925	0.893	1814	0.984
DRI28	-3.22	2	-1.24	0.107	189	0.925	0.893	1813	0.984
NXSUL162	-3.21	2	-1.24	0.108	190	0.925	0.892	1812	0.984
GUWZN3	-3.21	2	-1.23	0.109	191	0.925	0.891	1811	0.984
MCU12	-3.21	2	-1.23	0.109	192	0.925	0.891	1810	0.984
WTAV05	-3.20	2	-1.23	0.109	193	0.925	0.891	1809	0.984
ZXLTR249	-3.20	2	-1.23	0.109	194	0.925	0.891	1808	0.984
XVRL427	-3.20	2	-1.23	0.109	195	0.925	0.891	1807	0.984
DISH40	-3.20	2	-1.23	0.109	196	0.925	0.891	1806	0.984
GPY8	-3.19	2	-1.23	0.11	197	0.925	0.89	1805	0.984
SDYO63	-3.19	2	-1.23	0.11	198	0.925	0.89	1804	0.984
DSGE37	-3.19	2	-1.22	0.111	199	0.925	0.889	1803	0.984
IWDUQ02	-3.18	2	-1.22	0.111	200	0.925	0.889	1802	0.984
LJY7	-3.18	2	-1.22	0.111	201	0.925	0.889	1801	0.984
YDQJX057	-3.17	2	-1.22	0.112	202	0.925	0.888	1800	0.984
FNKL80	-3.16	2	-1.21	0.113	203	0.925	0.887	1799	0.984
EBH71	-3.16	2	-1.21	0.113	204	0.925	0.887	1798	0.984
PCU5	-3.15	2	-1.21	0.114	205	0.925	0.886	1797	0.984
DUCKA8	-3.15	2	-1.20	0.114	206	0.925	0.886	1796	0.984
IYEW460	-3.14	2	-1.20	0.115	207	0.925	0.885	1795	0.984
SETW2	-3.14	2	-1.20	0.115	208	0.925	0.885	1794	0.984
UPNSR601	-3.14	2	-1.20	0.115	209	0.925	0.885	1793	0.984
XVX275	-3.14	2	-1.20	0.115	210	0.925	0.885	1792	0.984
QOY509	-3.14	2	-1.20	0.115	211	0.925	0.885	1791	0.984
HBR265	-3.13	2	-1.19	0.116	212	0.925	0.884	1790	0.984
FVFLI1	-3.12	2	-1.19	0.117	213	0.925	0.883	1789	0.984
MLRUV629	-3.12	2	-1.19	0.117	214	0.925	0.883	1788	0.984
DVCJY26	-3.12	2	-1.19	0.117	215	0.925	0.883	1787	0.984
QFED10	-3.12	2	-1.19	0.117	216	0.925	0.883	1786	0.984
WDX31	-3.12	2	-1.19	0.117	217	0.925	0.883	1785	0.984
INOV10	-3.12	2	-1.19	0.117	218	0.925	0.883	1784	0.984
LWLS419	-3.11	2	-1.19	0.118	219	0.925	0.882	1783	0.984
NVYEI61	-3.11	2	-1.19	0.118	220	0.925	0.882	1782	0.984
ZZO84	-3.11	2	-1.18	0.118	221	0.925	0.882	1781	0.984
MEQ8	-3.11	2	-1.18	0.118	222	0.925	0.882	1780	0.984
USEO46	-3.10	2	-1.18	0.119	223	0.925	0.881	1779	0.984
CUE65	-3.10	2	-1.18	0.119	224	0.925	0.881	1778	0.984
UJFG7	-3.10	2	-1.18	0.119	225	0.925	0.881	1777	0.984
XLRWU3	-3.10	2	-1.18	0.119	226	0.925	0.881	1776	0.984
CNQ164	-3.09	2	-1.18	0.12	227	0.925	0.88	1775	0.984
JNGI425	-3.09	2	-1.17	0.12	228	0.925	0.88	1774	0.984
CZX2	-3.09	2	-1.17	0.12	229	0.925	0.88	1773	0.984
VASP42	-3.08	2	-1.17	0.121	230	0.925	0.879	1772	0.984
OVRL7	-3.07	2	-1.17	0.122	231	0.925	0.878	1771	0.984
GPD0	-3.07	2	-1.16	0.122	232	0.925	0.878	1770	0.984
QUCRG093	-3.07	2	-1.16	0.122	233	0.925	0.878	1769	0.984
SYKW10	-3.06	2	-1.16	0.123	234	0.925	0.877	1768	0.984
VKQV6	-3.05	2	-1.16	0.124	235	0.925	0.876	1767	0.984
HHQBF2	-3.05	2	-1.16	0.124	236	0.925	0.876	1766	0.984
NEMR5	-3.05	2	-1.15	0.124	237	0.925	0.876	1765	0.984
JEJ4	-3.05	2	-1.15	0.125	238	0.925	0.875	1764	0.984
AVY751	-3.04	2	-1.15	0.125	239	0.925	0.875	1763	0.984
MWF70	-3.04	2	-1.15	0.125	240	0.925	0.875	1762	0.984
WVEQ624	-3.04	2	-1.15	0.125	241	0.925	0.875	1761	0.984
TNXFO804	-3.03	2	-1.15	0.126	242	0.925	0.874	1760	0.984
UWJO0	-3.02	2	-1.14	0.127	243	0.925	0.873	1759	0.984
XIBQ9	-3.01	2	-1.13	0.128	244	0.925	0.872	1758	0.984
LNJM08	-3.01	2	-1.13	0.128	245	0.925	0.872	1757	0.984
IIY4	-3.01	2	-1.13	0.129	246	0.925	0.871	1756	0.984
QVXRF740	-3.01	2	-1.13	0.129	247	0.925	0.871	1755	0.984
JDV520	-3.00	2	-1.13	0.129	248	0.925	0.871	1754	0.984
GYKXC03	-3.00	2	-1.13	0.129	249	0.925	0.871	1753	0.984
YKL0	-3.00	2	-1.13	0.129	250	0.925	0.871	1752	0.984
BXNDH986	-2.99	2	-1.13	0.13	251	0.925	0.87	1751	0.984
YJB430	-2.99	2	-1.13	0.13	252	0.925	0.87	1750	0.984
USDR61	-2.99	2	-1.12	0.13	253	0.925	0.87	1749	0.984
HEPKV8	-2.99	2	-1.12	0.13	254	0.925	0.87	1748	0.984
XGKAN816	-2.99	2	-1.12	0.13	255	0.925	0.87	1747	0.984
ELF7	-2.99	2	-1.12	0.131	256	0.925	0.869	1746	0.984
YLQ2	-2.99	2	-1.12	0.131	257	0.925	0.869	1745	0.984
IXZV841	-2.98	2	-1.12	0.132	258	0.925	0.868	1744	0.984
ARP5	-2.97	2	-1.12	0.132	259	0.925	0.868	1743	0.984
QJCY0	-2.97	2	-1.12	0.132	260	0.925	0.868	1742	0.984
TPV3	-2.97	2	-1.11	0.133	261	0.925	0.867	1741	0.984
GZE12	-2.96	2	-1.11	0.133	262	0.925	0.867	1740	0.984
WANY25	-2.96	2	-1.11	0.134	263	0.925	0.866	1739	0.984
FXT5	-2.96	2	-1.11	0.134	264	0.925	0.866	1738	0.984
FYKPJ82	-2.96	2	-1.11	0.134	265	0.925	0.866	1737	0.984
EICB3	-2.96	2	-1.11	0.134	266	0.925	0.866	1736	0.984
QRG19	-2.95	2	-1.11	0.134	267	0.925	0.866	1735	0.984
MCBLV349	-2.95	2	-1.10	0.135	268	0.925	0.865	1734	0.984
TVHLK1	-2.94	2	-1.10	0.136	269	0.925	0.864	1733	0.984
SHUW5	-2.94	2	-1.10	0.136	270	0.925	0.864	1732	0.984
WNM189	-2.93	2	-1.10	0.137	271	0.925	0.863	1731	0.984
PADJV79	-2.93	2	-1.09	0.137	272	0.925	0.863	1730	0.984
YUZ4	-2.93	2	-1.09	0.137	273	0.925	0.863	1729	0.984
JUA978	-2.92	2	-1.09	0.137	274	0.925	0.863	1728	0.984
VBRV9	-2.92	2	-1.09	0.138	275	0.925	0.862	1727	0.984
TFL78	-2.91	2	-1.09	0.139	276	0.925	0.861	1726	0.984
IRQCI9	-2.90	2	-1.08	0.14	277	0.925	0.86	1725	0.984
DGLD761	-2.90	2	-1.08	0.14	278	0.925	0.86	1724	0.984
YLPDI71	-2.89	2	-1.08	0.141	279	0.925	0.859	1723	0.984
KYAL2	-2.89	2	-1.07	0.141	280	0.925	0.859	1722	0.984
PNKPR951	-2.89	2	-1.07	0.142	281	0.925	0.858	1721	0.984
SHWFJ7	-2.88	2	-1.07	0.142	282	0.925	0.858	1720	0.984
SMSTX9	-2.88	2	-1.07	0.142	283	0.925	0.858	1719	0.984
ZPRJF4	-2.88	2	-1.07	0.142	284	0.925	0.858	1718	0.984
VQXM89	-2.88	2	-1.07	0.143	285	0.925	0.857	1717	0.984
PZBI968	-2.87	2	-1.06	0.144	286	0.925	0.856	1716	0.984
CHD0	-2.86	2	-1.06	0.144	287	0.925	0.856	1715	0.984
QNG48	-2.86	2	-1.06	0.145	288	0.925	0.855	1714	0.984
YZOG409	-2.86	2	-1.06	0.145	289	0.925	0.855	1713	0.984
EKJB683	-2.86	2	-1.06	0.145	290	0.925	0.855	1712	0.984
PHKOI2	-2.86	2	-1.06	0.145	291	0.925	0.855	1711	0.984
MNW026	-2.86	2	-1.06	0.145	292	0.925	0.855	1710	0.984
MGKJ59	-2.85	2	-1.05	0.146	293	0.925	0.854	1709	0.984
AFA59	-2.84	2	-1.05	0.147	294	0.925	0.853	1708	0.984
GYHD163	-2.84	2	-1.05	0.147	295	0.925	0.853	1707	0.984
LRBWN05	-2.84	2	-1.05	0.147	296	0.925	0.853	1706	0.984
NFZ0	-2.84	2	-1.05	0.147	297	0.925	0.853	1705	0.984
YUP9	-2.84	2	-1.05	0.147	298	0.925	0.853	1704	0.984
MEF963	-2.83	2	-1.04	0.148	299	0.925	0.852	1703	0.984
JEOXY4	-2.83	2	-1.04	0.148	300	0.925	0.852	1702	0.984
JDG71	-2.83	2	-1.04	0.148	301	0.925	0.852	1701	0.984
AZSU5	-2.83	2	-1.04	0.148	302	0.925	0.852	1700	0.984
ILNY547	-2.82	2	-1.04	0.149	303	0.925	0.851	1699	0.984
KPSE3	-2.82	2	-1.04	0.149	304	0.925	0.851	1698	0.984
DYI26	-2.82	2	-1.04	0.15	305	0.925	0.85	1697	0.984
KWBQ3	-2.82	2	-1.04	0.15	306	0.925	0.85	1696	0.984
XXTG6	-2.81	2	-1.03	0.15	307	0.925	0.85	1695	0.984
TVNE08	-2.80	2	-1.03	0.151	308	0.925	0.849	1694	0.984
QFI132	-2.80	2	-1.03	0.151	309	0.925	0.849	1693	0.984
IURB59	-2.80	2	-1.03	0.152	310	0.925	0.848	1692	0.984
MAMWO2	-2.80	2	-1.03	0.152	311	0.925	0.848	1691	0.984
GBXAW96	-2.79	2	-1.02	0.154	312	0.925	0.846	1690	0.984
BBIP21	-2.79	2	-1.02	0.154	313	0.925	0.846	1689	0.984
UHMQ5	-2.77	2	-1.01	0.155	314	0.925	0.845	1688	0.984
IIKH367	-2.77	2	-1.01	0.156	315	0.925	0.844	1687	0.984
COXIR6	-2.76	2	-1.01	0.156	316	0.925	0.844	1686	0.984
EAL762	-2.76	2	-1.01	0.156	317	0.925	0.844	1685	0.984
QCDTI871	-2.76	2	-1.01	0.157	318	0.925	0.843	1684	0.984
APF6	-2.76	2	-1.01	0.157	319	0.925	0.843	1683	0.984
AFSNR25	-2.75	2	-1.00	0.158	320	0.925	0.842	1682	0.984
JOKZ94	-2.75	2	-1.00	0.158	321	0.925	0.842	1681	0.984
JTKVW30	-2.75	2	-1.00	0.158	322	0.925	0.842	1680	0.984
VICZ382	-2.74	2	-1.00	0.158	323	0.925	0.842	1679	0.984
GTVIH796	-2.74	2	-1.00	0.159	324	0.925	0.841	1678	0.984
POGNU219	-2.74	2	-1.00	0.159	325	0.925	0.841	1677	0.984
HJAHL172	-2.74	2	-1.00	0.159	326	0.925	0.841	1676	0.984
ELP19	-2.73	2	-1.00	0.16	327	0.925	0.84	1675	0.984
HMG574	-2.73	2	-0.99	0.16	328	0.925	0.84	1674	0.984
CHF069	-2.73	2	-0.99	0.16	329	0.925	0.84	1673	0.984
BXDY837	-2.73	2	-0.99	0.161	330	0.925	0.839	1672	0.984
GUFB71	-2.73	2	-0.99	0.161	331	0.925	0.839	1671	0.984
TSX60	-2.70	2	-0.98	0.164	332	0.925	0.836	1670	0.984
MOR42	-2.69	2	-0.98	0.165	333	0.925	0.835	1669	0.984
BMF30	-2.69	2	-0.97	0.165	334	0.925	0.835	1668	0.984
CEZL2	-2.69	2	-0.97	0.165	335	0.925	0.835	1667	0.984
XAJIS380	-2.68	2	-0.97	0.166	336	0.925	0.834	1666	0.984
AVIR63	-2.68	2	-0.97	0.167	337	0.925	0.833	1665	0.984
AFRXY45	-2.67	2	-0.96	0.168	338	0.925	0.832	1664	0.984
JKIY4	-2.67	2	-0.96	0.168	339	0.925	0.832	1663	0.984
DWIS380	-2.67	2	-0.96	0.168	340	0.925	0.832	1662	0.984
ZPSA571	-2.67	2	-0.96	0.168	341	0.925	0.832	1661	0.984
VNQIS7	-2.66	2	-0.96	0.169	342	0.925	0.831	1660	0.984
MZFO0	-2.65	2	-0.96	0.17	343	0.925	0.83	1659	0.984
QWG6	-2.65	2	-0.95	0.17	344	0.925	0.83	1658	0.984
MVPN75	-2.65	2	-0.95	0.17	345	0.925	0.83	1657	0.984
RLXE450	-2.65	2	-0.95	0.17	346	0.925	0.83	1656	0.984
KKWF247	-2.64	2	-0.95	0.172	347	0.925	0.828	1655	0.984
ZVR57	-2.64	2	-0.95	0.172	348	0.925	0.828	1654	0.984
PUC2	-2.62	2	-0.94	0.174	349	0.925	0.826	1653	0.984
ZZE5	-2.62	2	-0.94	0.174	350	0.925	0.826	1652	0.984
KPO021	-2.62	2	-0.94	0.174	351	0.925	0.826	1651	0.984
