guide	gene	Givpir_1	Givpir_2	Givpir_3	Netretopanpir_1	Netretopanpir_2	Netretopanpir_3	NonTreated_1	NonTreated_2	NonTreated_3	Xosam_1	Xosam_2	Xosam_3
JYMFS7_1	JYMFS7	1173	1294	1215	3022	2976	3004	535	586	553	1235	1361	1298
JYMFS7_2	JYMFS7	1177	1235	1281	3076	3092	2965	564	530	581	1347	1243	1303
WWM853_1	WWM853	5301	5191	5290	2643	2629	2666	639	565	560	2855	2872	2943
WWM853_2	WWM853	5293	5194	5266	2592	2619	2546	564	674	603	2946	2829	2835
SDLJO143_1	SDLJO143	713	729	723	3662	3591	3683	611	619	667	1182	1098	1223
SDLJO143_2	SDLJO143	777	772	657	3710	3609	3675	592	599	674	1210	1186	1124
MGSOH154_1	MGSOH154	805	947	836	2078	2067	2082	651	531	551	1227	1207	1273
MGSOH154_2	MGSOH154	845	899	886	2140	2078	2169	612	559	586	1188	1215	1282
NVYEI61_1	NVYEI61	1094	1098	1094	1363	1404	1344	548	607	527	471	567	483
NVYEI61_2	NVYEI61	1085	997	1084	1399	1316	1351	585	545	663	458	501	479
DVCJY26_1	DVCJY26	1091	1126	1060	1315	1380	1385	624	567	597	518	526	515
DVCJY26_2	DVCJY26	1072	1128	1122	1367	1420	1338	573	653	622	586	521	508
QOSL36_1	QOSL36	329	335	419	1525	1570	1625	659	533	628	905	958	984
QOSL36_2	QOSL36	326	397	420	1570	1578	1506	538	613	667	852	919	982
SZIRP02_1	SZIRP02	532	489	469	1633	1665	1673	589	628	619	1313	1315	1331
SZIRP02_2	SZIRP02	545	469	446	1600	1633	1539	652	615	590	1397	1395	1401
NHLWV3_1	NHLWV3	1992	1984	2060	617	583	529	621	657	586	1999	2058	2067
NHLWV3_2	NHLWV3	1928	1986	2042	544	507	504	535	619	647	2087	2010	2106
SYKW10_1	SYKW10	179	97	103	139	175	142	141	139	147	172	124	80
SYKW10_2	SYKW10	160	152	192	211	114	212	216	191	90	95	197	117
XIBQ9_1	XIBQ9	940	919	898	351	307	362	606	597	643	541	591	573
XIBQ9_2	XIBQ9	911	923	857	345	276	346	561	612	595	472	561	535
UTKIF135_1	UTKIF135	842	970	842	2664	2622	2641	629	572	662	894	941	919
UTKIF135_2	UTKIF135	885	893	884	2675	2633	2552	582	639	583	836	937	869
TOXF761_1	TOXF761	994	1028	994	1059	1044	1054	616	647	596	661	695	756
TOXF761_2	TOXF761	996	981	1030	1060	1164	1070	561	591	649	785	644	775
BSQTP516_1	BSQTP516	1120	1085	1202	401	411	480	668	534	629	1366	1341	1352
BSQTP516_2	BSQTP516	1181	1150	1168	455	464	386	609	570	614	1277	1303	1358
UEBR351_1	UEBR351	5225	5239	5243	2725	2624	2624	665	604	660	271	337	319
UEBR351_2	UEBR351	5309	5292	5308	2677	2658	2599	653	629	613	207	241	263
XKEDC65_1	XKEDC65	1144	1167	1177	2459	2383	2415	659	541	546	372	253	375
XKEDC65_2	XKEDC65	1099	1128	1170	2368	2431	2449	556	642	615	234	363	335
GEHO70_1	GEHO70	507	457	435	939	917	936	597	566	623	963	988	933
GEHO70_2	GEHO70	481	445	445	966	1036	1015	645	609	604	959	890	870
EZEW3_1	EZEW3	4505	4504	4507	4933	4996	4974	579	589	536	2331	2199	2270
EZEW3_2	EZEW3	4388	4513	4487	5009	4960	4957	537	655	560	2200	2262	2207
JTZ285_1	JTZ285	1025	970	968	2203	2218	2119	615	639	566	824	786	869
JTZ285_2	JTZ285	903	1029	1028	2094	2177	2165	643	670	610	822	869	770
IAJL8_1	IAJL8	3868	3849	3909	2448	2446	2508	662	564	667	4255	4305	4200
IAJL8_2	IAJL8	3844	3884	3957	2552	2582	2588	554	610	588	4308	4292	4228
TDQCE02_1	TDQCE02	1146	1161	1079	349	362	371	659	640	613	632	767	697
TDQCE02_2	TDQCE02	1153	1063	1078	295	363	331	581	594	584	739	745	638
XLDET38_1	XLDET38	581	589	634	967	928	934	604	573	548	3168	3214	3111
XLDET38_2	XLDET38	630	641	629	868	994	879	588	603	638	3100	3123	3163
HJV647_1	HJV647	763	788	779	1405	1496	1449	619	589	638	864	874	921
HJV647_2	HJV647	803	832	869	1489	1407	1443	667	623	660	928	931	877
NGOSX425_1	NGOSX425	1369	1329	1322	1219	1208	1187	575	670	665	2419	2361	2484
NGOSX425_2	NGOSX425	1363	1398	1400	1222	1236	1149	652	602	670	2397	2363	2399
XTL95_1	XTL95	391	446	444	418	422	473	642	645	637	790	783	689
XTL95_2	XTL95	457	439	471	459	389	443	662	617	642	789	783	795
JREWG31_1	JREWG31	2091	1984	2056	1614	1638	1625	568	599	566	1554	1575	1614
JREWG31_2	JREWG31	1996	2049	2059	1616	1721	1730	533	549	566	1624	1616	1635
SLQ58_1	SLQ58	847	774	809	832	839	912	576	658	566	2437	2516	2463
SLQ58_2	SLQ58	762	793	762	887	867	890	599	598	604	2529	2461	2529
KOFE4_1	KOFE4	2150	2152	2115	594	518	482	588	554	621	708	700	638
KOFE4_2	KOFE4	2103	2206	2214	549	517	508	649	651	672	601	617	683
DZTA92_1	DZTA92	1607	1471	1556	290	331	314	614	528	527	2561	2616	2534
DZTA92_2	DZTA92	1607	1467	1575	363	309	297	648	549	608	2541	2489	2566
OTYI98_1	OTYI98	1593	1661	1561	1810	1887	1848	670	650	585	694	628	626
OTYI98_2	OTYI98	1632	1687	1696	1832	1858	1770	546	603	581	596	683	602
DUPYR5_1	DUPYR5	2203	2215	2100	815	790	773	626	648	612	917	960	904
DUPYR5_2	DUPYR5	2120	2206	2245	753	838	848	574	636	670	928	813	909
YLX29_1	YLX29	2574	2469	2551	636	642	680	623	604	558	1054	1057	1106
YLX29_2	YLX29	2576	2521	2525	651	682	676	658	644	659	1026	1014	1157
EEYNK63_1	EEYNK63	871	785	812	918	866	857	593	614	548	3200	3173	3146
EEYNK63_2	EEYNK63	860	876	838	902	858	917	619	658	656	3239	3210	3164
FSN2_1	FSN2	1241	1206	1218	815	888	879	539	546	548	822	711	685
FSN2_2	FSN2	1200	1268	1207	843	827	827	669	617	581	734	734	723
PKZ40_1	PKZ40	3461	3516	3475	1848	1762	1742	559	560	580	1253	1217	1239
PKZ40_2	PKZ40	3485	3447	3390	1783	1835	1821	543	613	608	1264	1270	1163
UYLQB45_1	UYLQB45	425	521	428	759	835	784	670	551	631	1940	1889	1868
UYLQB45_2	UYLQB45	495	500	426	787	860	757	566	621	577	1828	1930	1913
GDU15_1	GDU15	761	753	678	2179	2163	2108	624	564	644	1257	1160	1280
GDU15_2	GDU15	753	776	761	2051	2128	2053	532	533	663	1190	1265	1268
ERQH8_1	ERQH8	3813	3857	3819	2478	2488	2448	646	608	607	1650	1536	1534
ERQH8_2	ERQH8	3762	3884	3819	2512	2441	2462	595	595	669	1663	1568	1539
OXHA70_1	OXHA70	2427	2452	2482	780	850	725	660	580	575	1170	1093	1102
OXHA70_2	OXHA70	2540	2526	2535	778	769	713	595	590	630	1170	1216	1156
FFHQV7_1	FFHQV7	2689	2610	2690	485	481	481	615	563	650	852	832	773
FFHQV7_2	FFHQV7	2602	2618	2643	520	450	462	670	617	537	814	757	848
FXT5_1	FXT5	1235	1220	1229	1092	1147	1162	599	667	529	542	557	563
FXT5_2	FXT5	1236	1152	1293	1143	1150	1042	537	556	662	587	506	465
TFKT90_1	TFKT90	1119	1112	1122	3893	3860	3906	579	577	575	1217	1328	1295
TFKT90_2	TFKT90	1089	996	1029	3838	3827	3858	600	638	541	1328	1238	1289
GBXAW96_1	GBXAW96	906	956	1035	864	887	870	641	668	674	650	653	642
GBXAW96_2	GBXAW96	918	1048	1038	885	922	845	597	636	629	582	634	651
YHCS9_1	YHCS9	186	128	91	79	98	174	99	181	176	146	174	171
YHCS9_2	YHCS9	100	152	117	150	82	170	101	95	112	155	90	189
QTP5_1	QTP5	518	579	586	1016	942	905	667	667	625	585	484	447
QTP5_2	QTP5	628	572	633	899	1007	1011	645	652	577	573	520	483
OTB4_1	OTB4	1948	1937	2051	1287	1264	1165	623	647	575	4609	4664	4674
OTB4_2	OTB4	1947	1982	2025	1292	1228	1155	576	647	665	4529	4554	4620
GLZCA7_1	GLZCA7	1499	1510	1471	1364	1409	1315	545	597	588	1848	1764	1798
GLZCA7_2	GLZCA7	1517	1484	1562	1448	1429	1363	560	622	550	1832	1755	1829
FWA9_1	FWA9	3325	3447	3331	1099	1025	1012	573	626	613	1031	1049	1093
FWA9_2	FWA9	3417	3386	3406	997	1061	970	560	548	561	1019	1016	993
VIRN168_1	VIRN168	490	559	463	1992	2110	2058	614	611	631	1384	1259	1341
VIRN168_2	VIRN168	594	468	485	2024	2092	2101	664	664	546	1343	1282	1298
EGCF5_1	EGCF5	2622	2674	2658	1169	1284	1262	654	622	554	1075	1045	1118
EGCF5_2	EGCF5	2751	2708	2730	1205	1287	1286	624	652	590	1039	1025	1006
GDRG9_1	GDRG9	2172	2247	2216	619	687	701	659	598	589	636	627	682
GDRG9_2	GDRG9	2183	2224	2274	730	623	619	573	670	646	673	669	650
VWGT6_1	VWGT6	987	1008	1072	3882	3940	3894	664	589	535	593	671	666
VWGT6_2	VWGT6	1003	1015	976	3887	3930	3824	578	534	608	597	697	572
QLYZT5_1	QLYZT5	6281	6191	6231	2326	2243	2216	649	619	619	5189	5265	5166
QLYZT5_2	QLYZT5	6273	6229	6182	2280	2336	2260	656	605	569	5176	5166	5265
PZL714_1	PZL714	1351	1437	1399	648	723	705	598	644	621	2184	2265	2195
PZL714_2	PZL714	1350	1362	1385	665	723	673	562	645	525	2181	2203	2262
IEAS61_1	IEAS61	682	734	804	1034	1092	1026	580	581	665	1208	1163	1260
IEAS61_2	IEAS61	709	691	681	1132	1029	1152	656	673	618	1258	1227	1271
QLJ261_1	QLJ261	1552	1528	1588	1445	1462	1372	668	530	547	2477	2521	2520
QLJ261_2	QLJ261	1573	1529	1610	1384	1448	1493	571	591	586	2483	2510	2459
ZXLTR249_1	ZXLTR249	1991	1948	1873	977	998	965	622	568	644	536	455	459
ZXLTR249_2	ZXLTR249	1898	1944	1991	1015	917	972	585	624	617	573	536	549
MWF70_1	MWF70	146	159	212	88	132	196	176	177	219	125	162	88
MWF70_2	MWF70	151	143	166	144	97	186	193	112	90	118	176	148
WIKBZ39_1	WIKBZ39	3765	3851	3789	424	293	394	607	591	547	3917	3974	3948
WIKBZ39_2	WIKBZ39	3761	3748	3788	348	354	329	553	622	582	3958	3840	3947
BZNK85_1	BZNK85	1547	1577	1589	3400	3439	3468	621	575	595	1603	1662	1729
BZNK85_2	BZNK85	1591	1630	1582	3366	3357	3468	565	654	672	1660	1690	1659
DSGFV139_1	DSGFV139	1751	1756	1817	772	800	739	573	614	541	1729	1704	1712
DSGFV139_2	DSGFV139	1802	1836	1802	811	790	801	583	636	649	1603	1607	1703
CRV259_1	CRV259	1379	1481	1471	2060	2020	1969	559	589	580	816	868	788
CRV259_2	CRV259	1393	1351	1468	1972	2071	1960	556	619	664	886	819	857
LGEV4_1	LGEV4	1528	1449	1578	536	590	505	559	602	583	1918	1792	1863
LGEV4_2	LGEV4	1491	1528	1574	553	612	550	639	630	618	1886	1836	1931
EPMGB016_1	EPMGB016	5122	5076	5100	839	764	756	574	575	651	842	864	779
EPMGB016_2	EPMGB016	5048	5002	5115	849	795	871	568	645	658	780	802	850
TNXFO804_1	TNXFO804	2681	2716	2747	1281	1253	1272	532	660	607	546	520	470
TNXFO804_2	TNXFO804	2742	2748	2693	1259	1208	1294	664	581	557	554	564	548
XROFJ3_1	XROFJ3	648	560	559	732	754	775	664	564	605	1314	1290	1228
XROFJ3_2	XROFJ3	528	587	517	716	778	756	528	544	589	1267	1284	1320
LLG81_1	LLG81	1214	1204	1133	1445	1443	1575	570	546	561	1771	1771	1761
LLG81_2	LLG81	1151	1180	1247	1445	1572	1560	657	620	559	1849	1779	1792
FZXVQ1_1	FZXVQ1	1987	2024	2036	439	383	444	603	659	597	1983	1958	1931
FZXVQ1_2	FZXVQ1	2072	1959	2049	419	483	450	591	601	591	1888	1902	1918
TFPAS21_1	TFPAS21	1109	1109	1023	1348	1387	1391	541	620	531	3209	3313	3290
TFPAS21_2	TFPAS21	1064	1008	1060	1289	1359	1270	639	599	666	3234	3291	3214
ZPUE74_1	ZPUE74	1536	1495	1511	945	1010	1020	600	550	672	2449	2382	2325
ZPUE74_2	ZPUE74	1496	1518	1441	948	899	994	650	540	662	2405	2330	2426
UNW0_1	UNW0	905	795	802	409	374	411	665	580	619	1550	1466	1500
UNW0_2	UNW0	832	814	813	468	435	493	619	640	564	1515	1433	1404
NYAG3_1	NYAG3	1498	1555	1597	917	791	862	609	672	595	269	367	256
NYAG3_2	NYAG3	1500	1579	1554	798	804	906	528	525	602	296	267	258
TATG032_1	TATG032	690	600	615	912	878	894	600	630	601	1386	1325	1390
TATG032_2	TATG032	618	644	688	923	828	869	587	577	621	1327	1310	1396
CFNQC942_1	CFNQC942	606	579	533	456	545	501	611	530	598	733	775	791
CFNQC942_2	CFNQC942	606	629	555	462	549	456	615	614	616	782	817	803
TMNE52_1	TMNE52	1112	1133	1123	817	795	906	675	544	663	1406	1455	1406
TMNE52_2	TMNE52	1153	1216	1134	882	763	820	602	640	653	1406	1470	1517
CHD0_1	CHD0	8441	8499	8387	1798	1785	1762	559	579	551	545	536	437
CHD0_2	CHD0	8485	8475	8412	1737	1704	1772	567	568	600	562	548	535
BRVB80_1	BRVB80	1646	1529	1540	3106	3165	3110	615	614	556	4180	4063	4158
BRVB80_2	BRVB80	1557	1542	1574	3087	3060	3075	606	631	578	4089	4070	4158
TVUD5_1	TVUD5	5378	5381	5360	2636	2549	2586	550	592	599	5531	5590	5555
TVUD5_2	TVUD5	5384	5454	5388	2574	2590	2617	657	532	538	5525	5514	5613
RPR513_1	RPR513	1005	1031	974	1002	1130	1087	665	611	577	4847	4952	4960
RPR513_2	RPR513	1054	983	962	1114	1126	1062	642	546	578	4943	4937	4960
IIEA5_1	IIEA5	554	613	617	3215	3216	3256	592	609	638	865	835	934
IIEA5_2	IIEA5	647	664	567	3132	3145	3232	561	588	528	813	906	945
FMWYZ64_1	FMWYZ64	410	413	505	542	549	597	586	643	610	1308	1330	1265
FMWYZ64_2	FMWYZ64	392	513	524	531	533	584	670	640	596	1327	1271	1242
KBPQ2_1	KBPQ2	802	869	802	433	436	395	614	619	550	3078	3145	3199
KBPQ2_2	KBPQ2	815	838	800	457	386	482	660	638	649	3178	3149	3107
LKF268_1	LKF268	1357	1291	1359	779	750	687	612	558	528	462	464	483
LKF268_2	LKF268	1321	1318	1367	778	742	708	527	658	585	454	454	420
PXC2_1	PXC2	3317	3316	3286	2668	2652	2601	649	658	632	705	665	621
PXC2_2	PXC2	3301	3243	3336	2633	2672	2626	564	576	587	646	724	747
ADJ921_1	ADJ921	703	788	800	1013	918	969	670	590	567	4580	4679	4575
ADJ921_2	ADJ921	740	832	708	954	989	993	602	600	598	4584	4580	4676
VCYTL2_1	VCYTL2	3093	3062	3117	643	691	600	557	563	562	672	650	688
VCYTL2_2	VCYTL2	3052	3062	3057	612	696	606	595	643	600	686	689	665
MURPF45_1	MURPF45	1121	1058	1104	2368	2301	2377	556	657	658	988	1041	983
MURPF45_2	MURPF45	1048	1048	1070	2285	2263	2353	645	564	660	975	1043	968
UZFJ095_1	UZFJ095	846	806	821	1420	1422	1469	581	608	582	1837	1919	1889
UZFJ095_2	UZFJ095	795	786	836	1455	1380	1356	601	569	646	1926	1851	1873
RHAY861_1	RHAY861	218	330	241	1485	1499	1458	608	640	543	896	902	825
RHAY861_2	RHAY861	278	307	299	1510	1535	1515	526	557	637	808	893	886
ZDNUM0_1	ZDNUM0	1879	1929	1957	773	764	800	545	630	561	1435	1440	1322
ZDNUM0_2	ZDNUM0	1919	1987	1950	803	718	734	539	634	630	1379	1332	1375
KMWSB56_1	KMWSB56	1446	1475	1561	4020	3995	4043	590	632	568	2355	2460	2433
KMWSB56_2	KMWSB56	1540	1518	1466	4045	4068	3993	661	671	585	2396	2389	2401
YOIE456_1	YOIE456	707	781	755	1450	1471	1469	662	569	599	2153	2140	2147
YOIE456_2	YOIE456	809	721	779	1449	1531	1442	530	557	657	2095	2198	2187
AHPA3_1	AHPA3	1649	1549	1539	1491	1440	1532	604	660	657	733	629	645
AHPA3_2	AHPA3	1519	1603	1583	1569	1503	1529	530	621	590	640	771	657
HOTB13_1	HOTB13	1306	1269	1340	2057	2040	2020	623	665	634	198	250	247
HOTB13_2	HOTB13	1315	1210	1246	2091	1988	1973	569	585	639	180	313	257
DAXQS608_1	DAXQS608	1548	1531	1492	1652	1686	1575	566	610	553	694	692	683
DAXQS608_2	DAXQS608	1534	1542	1606	1600	1630	1559	576	587	588	641	685	664
CSRWC275_1	CSRWC275	775	731	797	1463	1400	1330	574	643	581	703	632	700
CSRWC275_2	CSRWC275	826	740	812	1468	1419	1442	616	624	527	742	631	708
OTVC70_1	OTVC70	653	615	576	4192	4226	4155	534	560	611	2622	2582	2661
OTVC70_2	OTVC70	643	620	681	4150	4105	4223	579	609	584	2580	2649	2605
UBJSH3_1	UBJSH3	1557	1533	1485	2690	2676	2622	537	553	577	751	753	697
UBJSH3_2	UBJSH3	1483	1469	1611	2708	2633	2663	615	607	557	753	793	783
MWTDK9_1	MWTDK9	771	699	649	896	970	846	587	585	597	2462	2492	2367
MWTDK9_2	MWTDK9	747	670	656	977	977	886	534	618	593	2467	2497	2502
